player_name,team,matches,innings,runs,batting_average,strike_rate,role
Tejas Baroka,Gujarat Lions,1,0,0,0,0,Unknown
AS Rajpoot,Kolkata Knight Riders,29,0,0,0,0,Unknown
Harbhajan Singh,Mumbai Indians,163,0,0,0,0,Unknown
SL Malinga,Mumbai Indians,122,0,0,0,0,Unknown
VR Aaron,Kings XI Punjab,52,0,0,0,0,Unknown
AB de Villiers,Royal Challengers Bangalore,183,0,0,0,0,Unknown
CJ Anderson,Delhi Daredevils,30,0,0,0,0,Unknown
F du Plessis,Rising Pune Supergiant,145,0,0,0,0,Unknown
RA Tripathi,Rising Pune Supergiant,96,0,0,0,0,Unknown
V Shankar,Sunrisers Hyderabad,72,0,0,0,0,Unknown
Mustafizur Rahman,Sunrisers Hyderabad,57,0,0,0,0,Unknown
I Sharma,Kings XI Punjab,110,0,0,0,0,Unknown
C de Grandhomme,Kolkata Knight Riders,25,0,0,0,0,Unknown
UT Yadav,Kolkata Knight Riders,148,0,0,0,0,Unknown
V Kohli,Royal Challengers Bangalore,252,0,0,0,0,Unknown
S Badree,Royal Challengers Bangalore,12,0,0,0,0,Unknown
Ishan Kishan,Gujarat Lions,107,0,0,0,0,Unknown
RA Jadeja,Gujarat Lions,240,0,0,0,0,Unknown
AJ Tye,Gujarat Lions,30,0,0,0,0,Unknown
Ankit Sharma,Rising Pune Supergiant,22,0,0,0,0,Unknown
SN Thakur,Rising Pune Supergiant,97,0,0,0,0,Unknown
LH Ferguson,Rising Pune Supergiant,45,0,0,0,0,Unknown
SS Iyer,Delhi Daredevils,116,0,0,0,0,Unknown
EJG Morgan,Kings XI Punjab,83,0,0,0,0,Unknown
KC Cariappa,Kings XI Punjab,11,0,0,0,0,Unknown
MM Patel,Gujarat Lions,63,0,0,0,0,Unknown
JD Unadkat,Rising Pune Supergiant,105,0,0,0,0,Unknown
AF Milne,Royal Challengers Bangalore,10,0,0,0,0,Unknown
AD Mathews,Delhi Daredevils,49,0,0,0,0,Unknown
Mohammed Shami,Delhi Daredevils,112,0,0,0,0,Unknown
NM Coulter-Nile,Kolkata Knight Riders,39,0,0,0,0,Unknown
Mohammad Nabi,Sunrisers Hyderabad,24,0,0,0,0,Unknown
BB Sran,Sunrisers Hyderabad,24,0,0,0,0,Unknown
S Kaul,Sunrisers Hyderabad,55,0,0,0,0,Unknown
J Yadav,Delhi Daredevils,20,0,0,0,0,Unknown
KS Williamson,Sunrisers Hyderabad,79,0,0,0,0,Unknown
Mohammed Siraj,Sunrisers Hyderabad,94,0,0,0,0,Unknown
SE Marsh,Kings XI Punjab,71,0,0,0,0,Unknown
Gurkeerat Singh,Kings XI Punjab,41,0,0,0,0,Unknown
JP Faulkner,Gujarat Lions,60,0,0,0,0,Unknown
Shakib Al Hasan,Kolkata Knight Riders,71,0,0,0,0,Unknown
