player_name,team,role,matches,innings,runs,batting_average,strike_rate,wickets,economy_rate,bowling_average,batting_consistency,batting_impact,bowling_impact,all_rounder_rating,estimated_fantasy_points,cost
A Zampa,Rising Pune Supergiant,Unknown,22.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.522587513697419
AB Dinda,Rising Pune Supergiant,Unknown,78.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.28927382471427
Imran Tahir,Rising Pune Supergiant,Unknown,59.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.194431054189318
JJ Roy,Gujarat Lions,Unknown,21.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.59957893208156
BB McCullum,Gujarat Lions,Unknown,109.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.863845905922714
SK Raina,Gujarat Lions,Unknown,204.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.41411010793043
AJ Finch,Gujarat Lions,Unknown,92.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.086663997104516
KD Karthik,Gujarat Lions,Unknown,257.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.274954826587683
DR Smith,Gujarat Lions,Unknown,91.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.9233256526842
MS Gony,Gujarat Lions,Unknown,44.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.807789502226214
P Kumar,Gujarat Lions,Unknown,119.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.225769925736827
SB Jakati,Gujarat Lions,Unknown,59.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.629300061475456
DS Kulkarni,Gujarat Lions,Unknown,92.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.247995129930802
S Kaushik,Gujarat Lions,Unknown,10.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.689333961202507
G Gambhir,Kolkata Knight Riders,Unknown,154.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.714388531920466
CA Lynn,Kolkata Knight Riders,Unknown,42.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.584444845538467
